Distancing measure, Percent Distancing, Percent Infected, Num Dead, Time to eradicate
STRICT, 1, 0.3, 1, 15765
STRICT, 1, 0.3, 29, 27594
STRICT, 1, 0.3, 27, 24817
STRICT, 1, 0.3, 33, 28313
STRICT, 1, 0.3, 34, 28164

STRICT, 0.9, 0.02, 3, 22595
STRICT, 0.9, 0.02, 1, 22844
STRICT, 0.9, 0.02, 2, 35837
STRICT, 0.9, 0.02, 2, 30259
STRICT, 0.9, 0.02, 2, 26407
STRICT, 0.9, 0.02, 7, 31401
STRICT, 0.9, 0.02, 1, 21499
STRICT, 0.9, 0.02, 7, 40887
STRICT, 0.9, 0.02, 1, 27335
STRICT, 0.9, 0.02, 6, 36967

STRICT, 0.9, 0.06, 8, 44314
STRICT, 0.9, 0.06, 6, 29743
STRICT, 0.9, 0.06, 9, 34629
STRICT, 0.9, 0.06, 14, 31958
STRICT, 0.9, 0.06, 2, 27998
STRICT, 0.9, 0.06, 12, 32133
STRICT, 0.9, 0.06, 17, 44123
STRICT, 0.9, 0.06, 4, 23021
STRICT, 0.9, 0.06, 13, 44135
STRICT, 0.9, 0.06, 14, 38865

STRICT, 0.9, 0.1, 5, 24200
STRICT, 0.9, 0.1, 15, 27770
STRICT, 0.9, 0.1, 26, 43425
STRICT, 0.9, 0.1, 25, 34668
STRICT, 0.9, 0.1, 10, 25946
STRICT, 0.9, 0.1, 29, 38477
STRICT, 0.9, 0.1, 27, 35518
STRICT, 0.9, 0.1, 22, 34728
STRICT, 0.9, 0.1, 26, 35989
STRICT, 0.9, 0.1, 23, 32541

STRICT, 0.9, 0.2, 25, 28135
STRICT, 0.9, 0.2, 31, 32619
STRICT, 0.9, 0.2, 33, 32525
STRICT, 0.9, 0.2, 28, 27994
STRICT, 0.9, 0.2, 17, 26944
STRICT, 0.9, 0.2, 19, 25731
STRICT, 0.9, 0.2, 22, 27833
STRICT, 0.9, 0.2, 20, 30841
STRICT, 0.9, 0.2, 30, 42873
STRICT, 0.9, 0.2, 29, 28965

STRICT, 0.9, 0.3, 45, 35060
STRICT, 0.9, 0.3, 40, 38830
STRICT, 0.9, 0.3, 41, 28833
STRICT, 0.9, 0.3, 30, 29075
STRICT, 0.9, 0.3, 35, 40176
STRICT, 0.9, 0.3, 29, 27219
STRICT, 0.9, 0.3, 29, 29046
STRICT, 0.9, 0.3, 30, 25891
STRICT, 0.9, 0.3, 21, 24299
STRICT, 0.9, 0.3, 26, 26978

STRICT, 0.8, 0.02, 1, 22067
STRICT, 0.8, 0.02, 6, 45362
STRICT, 0.8, 0.02, 3, 24163
STRICT, 0.8, 0.02, 1, 26903
STRICT, 0.8, 0.02, 2, 38775
STRICT, 0.8, 0.02, 0, 23159
STRICT, 0.8, 0.02, 4, 36386
STRICT, 0.8, 0.02, 1, 28266
STRICT, 0.8, 0.02, 1, 24198
STRICT, 0.8, 0.02, 1, 21395

STRICT, 0.8, 0.06, 17, 42363
STRICT, 0.8, 0.06, 22, 65192
STRICT, 0.8, 0.06, 6, 27619
STRICT, 0.8, 0.06, 11, 60635
STRICT, 0.8, 0.06, 25, 48728
STRICT, 0.8, 0.06, 16, 61060
STRICT, 0.8, 0.06, 17, 57116
STRICT, 0.8, 0.06, 6, 34217
STRICT, 0.8, 0.06, 15, 57003
STRICT, 0.8, 0.06, 15, 49141

STRICT, 0.8, 0.1, 31, 38389
STRICT, 0.8, 0.1, 9, 29435
STRICT, 0.8, 0.1, 23, 55100
STRICT, 0.8, 0.1, 14, 51335
STRICT, 0.8, 0.1, 23, 45917
STRICT, 0.8, 0.1, 33, 41780
STRICT, 0.8, 0.1, 24, 33444
STRICT, 0.8, 0.1, 18, 39917
STRICT, 0.8, 0.1, 27, 48231
STRICT, 0.8, 0.1, 11, 29985

STRICT, 0.8, 0.2, 38, 43737
STRICT, 0.8, 0.2, 32, 39429
STRICT, 0.8, 0.2, 27, 29582
STRICT, 0.8, 0.2, 10, 22052
STRICT, 0.8, 0.2, 37, 39436
STRICT, 0.8, 0.2, 24, 27638
STRICT, 0.8, 0.2, 28, 28956
STRICT, 0.8, 0.2, 40, 38262
STRICT, 0.8, 0.2, 25, 28066
STRICT, 0.8, 0.2, 23, 28866

STRICT, 0.8, 0.3, 38, 36660
STRICT, 0.8, 0.3, 47, 35543
STRICT, 0.8, 0.3, 35, 34388
STRICT, 0.8, 0.3, 18, 24090
STRICT, 0.8, 0.3, 23, 28301
STRICT, 0.8, 0.3, 42, 35182
STRICT, 0.8, 0.3, 39, 36305
STRICT, 0.8, 0.3, 41, 35738
STRICT, 0.8, 0.3, 32, 29732
STRICT, 0.8, 0.3, 35, 29860

STRICT, 0.74, 0.02, 6, 44379
STRICT, 0.74, 0.02, 0, 14018
STRICT, 0.74, 0.02, 5, 42990
STRICT, 0.74, 0.02, 0, 14030
